X,Y,Z
0.7663,31559,0.6425
0.4295,17754,0.9031
-0.8262,49850,-0.5633
0.3970,11209,0.9178
0.9870,32623,-0.1610
-0.8962,30250,-0.4436
-0.2555,19362,-0.9668
0.8449,0.7109,-0.5350
0.1989,0.1257,0.9800
0.1647,21056,0.9863
-0.7366,0.9205,-0.6763
0.1381,36289,0.9904
0.2005,18518,0.9797
0.6567,42078,-0.7541
0.8082,36711,0.5889
-0.7847,28551,-0.6199
0.4048,0.8843,-0.9144
0.3867,47869,0.9222
0.8301,13266,0.5577
0.1897,46229,0.9818
0.9987,11189,-0.0515
-0.9859,18678,-0.1675
0.6526,0.4375,0.7577
0.3061,32006,0.9520
0.9984,0.9031,0.0568
0.9093,0.2253,0.4161
0.9358,36159,0.3526
0.2740,17372,-0.9617
0.9986,33031,-0.0527
-0.6919,19193,-0.7220
0.9828,31367,0.1845
-0.9888,0.1082,-0.1494
-0.2627,45528,-0.9649
-0.9764,40028,-0.2159
-0.8971,37292,-0.4419
0.7392,40656,0.6734
0.9912,19165,0.1323
-0.0764,30864,-0.9971
0.2324,28775,0.9726
-0.9869,26503,-0.1616
0.4766,13753,-0.8791
0.2253,12431,-0.9743
0.8935,22582,0.4492
0.8221,11386,0.5693
-0.6367,40222,-0.7711
0.6722,49305,-0.7404
0.5047,0.1500,-0.8633
0.9954,26783,-0.0958
0.9798,0.4354,0.1999
0.9152,40105,0.4030
-0.2668,49457,-0.9638
0.9981,0.3347,0.0614
0.9985,46970,-0.0545
-0.7205,0.0909,-0.6935
-0.8468,34192,-0.5318
0.7016,39187,-0.7125
0.1886,26707,0.9821
0.0332,44268,-0.9994
0.9273,44950,-0.3742
-0.4935,31297,-0.8697
0.9216,0.6893,0.3882
-0.3604,10890,-0.9328
0.7267,0.9107,-0.6870
0.9884,0.2091,0.1521
0.4918,0.5347,0.8707
0.1907,30822,0.9817
0.8457,46983,-0.5336
-0.7941,17723,-0.6078
-0.7626,20531,-0.6469
-0.3498,49217,-0.9368
0.6821,47279,0.7313
-0.3640,33832,-0.9314
0.7676,49415,0.6409
-0.4107,38342,-0.9118
0.3272,16835,0.9450
0.0784,33119,-0.9969
-0.6007,12208,-0.7995
-0.3780,14775,-0.9258
0.9717,34009,-0.2363
0.6127,26392,-0.7903
0.0863,20580,-0.9963
0.7154,30132,0.6987
0.9273,37526,-0.3743
0.8520,29177,-0.5236
0.3804,27590,0.9248
-0.2219,29179,-0.9751
0.9104,25591,0.4138
0.9170,0.4130,0.3989
0.2202,35979,-0.9755
0.8935,49808,-0.4491
-0.9368,17727,-0.3499
-0.9679,48563,-0.2515
0.8019,17322,-0.5974
0.8627,44327,0.5057
0.3060,22735,0.9520
-0.8184,20671,-0.5746
0.8956,10887,-0.4449
0.5981,0.6283,-0.8014
-0.9984,15446,-0.0561
0.0179,36305,-0.9998
-0.7219,39144,-0.6920
0.8246,34689,0.5658
-0.1040,0.0490,-0.9946
0.7955,42161,-0.6059
-0.7105,46117,-0.7037
0.9539,38548,-0.3001
-0.3255,0.2133,-0.9455
0.9982,18909,-0.0593
0.9944,35217,0.1061
0.9272,36476,0.3746
0.5247,11214,-0.8513
-0.9230,13453,-0.3848
-0.4722,33652,-0.8815
0.3971,23875,0.9178
-0.7531,31186,-0.6579
0.7317,11822,0.6816
0.8227,0.8856,-0.5685
0.0182,41482,0.9998
-0.9329,38346,-0.3601
0.4928,46724,-0.8702
-0.8763,0.5394,-0.4817
0.1786,0.9111,0.9839
-0.9998,0.4955,-0.0218
0.8727,24488,0.4883
0.7585,0.9662,0.6517
0.5800,44795,0.8146
-0.9219,0.4954,-0.3875
0.3080,0.2208,-0.9514
-0.3393,27865,-0.9407
0.8088,38625,0.5880
