X,Y,Z
0.215499,0.764937,-0.606985
0.871193,0.0580661,0.487495
-0.867926,0.402306,-0.291298
0.381241,-0.100341,0.919014
0.141635,-0.0722035,-0.987282
-0.846297,0.446581,0.290426
-0.615121,0.788432,8.88247E-4
0.24572,-0.803414,-0.542353
0.914311,-0.391616,0.103308
0.898274,-0.356096,-0.257488
-0.631738,-0.662573,0.402373
0.999565,0.0196198,0.0220237
0.394397,-0.223594,-0.891323
-0.0257018,-0.150005,-0.988351
0.457227,-0.870619,-0.181568
-0.146307,0.556464,0.817889
-0.252717,0.894495,0.3688
0.997536,-0.0600133,0.0363272
0.753032,0.545751,0.367557
0.65274,-0.402544,-0.641785
0.412144,0.25453,0.874844
-0.78296,0.225937,-0.579592
0.898068,0.437308,0.0472859
0.894485,-0.400127,-0.199485
0.805689,0.538627,0.246467
0.457415,-0.227618,-0.859629
0.380249,-0.468949,0.797181
-0.223831,-0.887582,0.402613
0.128831,0.454971,0.881138
-0.430628,-0.462714,0.77489
0.981501,-0.191036,0.0126839
-0.599712,-0.631909,-0.490955
-0.5182,-0.14405,-0.843041
-0.242953,-0.970025,0.00509346
-0.935834,-0.345488,0.0696592
0.630929,-0.62569,0.458737
0.227722,-0.710392,-0.665947
-0.676012,-0.190973,0.711714
0.971703,-0.23071,0.0506522
-0.633089,0.719232,-0.286187
-0.10564,-0.590775,0.79989
-0.551909,-0.571534,0.607244
0.19721,-0.969541,-0.145251
0.159447,-0.243297,0.956757
-0.507056,-0.784421,0.357181
-0.254148,0.256243,-0.932603
-0.180769,0.935301,0.304197
0.835079,0.537804,0.115803
0.834522,-0.534804,0.132509
0.548172,-0.805769,0.224152
-0.479676,0.810897,-0.335196
0.035149,0.931462,-0.362137
-0.954293,0.0947132,0.283469
-0.463422,-0.411982,0.784546
-0.00553945,0.968707,-0.248145
0.794012,-0.307038,-0.524664
-0.825164,-0.503685,-0.255746
0.345135,0.823742,-0.449812
-0.156532,-0.961199,-0.227143
0.485189,-0.84968,0.206484
-0.927094,0.358118,-0.11067
0.0453718,0.558465,-0.828286
0.772733,0.13306,-0.620627
0.614576,0.277347,-0.738495
0.745152,0.52223,-0.414758
0.0500673,0.565426,-0.823278
-0.88912,-0.338918,-0.307573
-0.480708,0.524531,-0.7027
-0.824682,0.134586,-0.549351
0.970037,-0.208638,-0.124493
-0.34179,-0.662539,-0.6665
0.756225,0.654018,-0.0195732
-0.364991,-0.670773,0.645636
0.677638,0.0354101,-0.734542
-0.488188,-0.506122,0.710994
-0.53437,-0.590863,-0.604425
-0.957639,0.115523,-0.263783
0.312119,-0.0397277,-0.949212
-0.140761,0.95152,-0.273488
-0.125667,0.513879,-0.848608
0.763652,0.566725,-0.309287
0.266793,-0.685204,-0.677729
0.129867,-0.61472,-0.777981
0.547971,-0.438006,-0.712656
-0.729994,0.451881,0.51275
0.198915,0.796398,0.571124
0.336196,0.292911,0.895084
-0.257003,-0.815215,-0.519013
0.249269,0.966973,-0.0531698
-0.690678,-0.668454,-0.275921
-0.626943,-0.77796,0.0414779
0.0896051,0.612984,-0.784998
0.32928,-0.354652,-0.875098
0.992517,0.121301,-0.0139898
-0.336658,0.710044,-0.618465
0.0959065,0.205361,-0.973976
-0.0323368,0.364415,0.930675
-0.765914,-0.636261,-0.0924576
-0.492803,0.742671,0.453415
-0.591173,0.704429,0.392803
0.428993,0.27624,-0.860033
-0.486376,-0.84394,0.226282
0.181827,-0.369025,0.91146
-0.731999,-0.672093,0.111662
0.591026,0.745837,0.30727
-0.667488,0.458132,-0.587006
0.508808,0.421086,0.750867
0.624565,-0.307298,-0.717974
0.864203,-0.302527,-0.402034
-0.203339,-0.617578,0.75977
-0.749239,0.299064,0.590933
-0.405459,-0.894865,-0.1866
0.927499,-0.141942,-0.34583
-0.90967,0.229402,0.34623
0.607823,-0.412891,0.678287
0.114191,0.4393,0.891053
0.98161,-0.0487285,0.184574
-0.865926,-0.414351,-0.280152
-0.290945,0.237473,0.9268
-0.97423,-0.216312,-0.0639088
0.896556,-0.126366,0.424522
0.463487,-0.399517,-0.790927
0.99382,0.0442835,0.101785
-0.425273,-0.741943,0.518327
-0.593597,-0.50457,-0.626938
-0.312525,-0.623455,-0.716681
0.643934,-0.534586,-0.547328
-0.364576,0.856359,-0.365695
0.677723,-0.709342,-0.193717
-0.964994,0.254266,0.064311
-0.25961,0.715949,-0.64809
-0.977613,-0.186208,0.0979741
-0.921492,0.162321,-0.352851
0.566878,0.713674,-0.411485
0.317538,-0.0911881,-0.943851
0.0547855,0.885064,-0.462234
-0.33221,-0.314496,0.889229
0.300099,0.295556,0.906966
0.22523,-0.636473,0.737681
-0.148536,-0.908324,0.391005
0.0121469,0.734713,-0.67827
-0.407027,-0.0974501,-0.908203
-0.916299,0.235026,-0.324281
-0.403931,-0.513673,0.756954
-0.592921,-0.727868,0.344461
-0.303437,-0.952258,0.0336143
-0.851289,0.461038,-0.250502
-0.482257,-0.25912,-0.83683
-0.995176,-0.0980663,0.00264452
0.623458,0.262259,0.736559
0.331064,-0.90354,0.272053
-0.0266384,-0.970213,0.240785
-0.0262856,0.867336,0.497029
-0.690578,0.517278,0.505495
0.44281,-0.556957,-0.702651
-0.0603513,-0.998141,0.00850531
-0.708074,-0.566085,-0.422112
0.551274,0.087296,-0.829745
-0.136699,0.573125,-0.807986
-0.870307,0.138482,-0.47264
-0.206316,-0.78825,0.579737
-0.911545,0.329128,-0.246496
-0.681962,-0.713747,0.159665
0.886971,-0.337431,-0.315314
0.591929,-0.233745,-0.771351
0.242011,-0.967455,0.0739065
-0.785927,-0.169402,-0.594661
-0.505275,-0.525406,0.684577
-0.0998893,-0.161651,0.981779
0.800133,-0.467515,-0.37579
-0.726119,-0.223387,0.650269
-0.907499,-0.196132,0.371453
-0.611088,0.520084,-0.596728
0.478985,0.876515,-0.047906
0.825358,0.124582,0.550693
0.278546,-0.904649,0.322525
-0.0737798,-0.920688,0.383263
0.0880843,-0.942156,0.323392
-0.174169,0.952937,0.248147
0.644972,0.727539,-0.233875
-0.9478,0.17887,0.263971
0.182278,-0.390266,-0.902478
-0.460311,-0.621749,-0.633674
-0.245764,0.401897,0.882088
0.30942,0.876055,-0.369848
0.516047,-0.840971,0.162677
-0.579039,-0.232829,0.781348
0.816046,-0.0545637,-0.575406
0.286099,-0.86331,-0.415744
-0.0694434,0.860805,-0.504175
-0.306918,-0.651908,0.69341
-0.112436,0.98801,-0.1058
-0.276608,-0.356724,-0.892321
0.0141779,0.251733,-0.967693
0.0426699,-0.950419,-0.308031
0.77995,-0.589983,-0.208801
0.765018,-0.585532,-0.268142
0.703298,0.591323,-0.3946
-0.122334,0.759416,-0.639
0.611601,-0.580739,0.537296
0.0823298,0.196077,-0.977126
-0.891009,-0.436401,0.125128
0.814234,0.0875871,0.573891
0.204899,0.798243,-0.566413
0.712439,0.63395,-0.300893
0.431526,-0.86837,0.244375
0.240571,-0.788788,-0.565631
-0.984009,-0.177547,-0.0142594
-0.336363,-0.397136,0.853898
-0.11373,-0.674196,-0.729743
-0.528544,0.179487,0.829714
0.708823,0.533703,0.461228
-0.906557,-0.260011,0.332487
-0.920669,-0.389284,0.0287588
-0.274873,-0.849908,-0.449558
-0.787457,-0.519408,0.331853
-0.103402,-0.749412,-0.65398
-0.165124,-0.232701,0.958428
0.899337,0.308926,0.309448
-0.159015,0.972687,0.1691
-0.50045,0.845749,-0.185091
0.592612,-0.0431985,-0.804329
0.706218,-0.183147,-0.683896
-0.248404,0.88437,0.395203
-0.521896,0.169844,0.835929
-0.385357,0.663241,0.64157
-0.18302,0.913426,0.363533
0.1725,-0.924962,-0.338658
-0.426392,0.882231,0.199647
0.416955,-0.0860752,0.904842
0.439232,-0.852085,-0.284653
-0.527379,-0.292471,0.797704
-0.472226,0.638357,-0.607868
-0.638679,-0.697825,-0.324238
-0.379524,-0.924352,0.0391836
-0.160959,0.107793,-0.981057
0.00596949,0.962647,0.270692
-0.999635,0.00843302,0.0256723
-0.820262,0.553344,0.144845
0.710778,-0.536751,0.454635
-0.475612,0.746486,0.465352
0.754635,0.101015,0.648322
0.443648,0.671322,-0.59372
-0.0304156,-0.998343,-0.048857
0.193659,0.906503,0.375164
-0.765459,0.190329,-0.614693
-0.0543795,-0.74359,-0.666421
0.966071,0.0239358,-0.257163
0.210279,-0.963434,0.166065
0.0230528,0.0608713,0.997879
-0.659993,-0.225238,0.716712
-0.0638609,-0.393568,-0.917075
0.188666,-0.838728,-0.510823
0.26248,-0.199016,0.944191
-0.1302,0.267702,0.954664
-0.133698,0.986489,0.094675
0.849762,-0.487311,-0.201079
-0.632519,0.665865,-0.395656
0.776196,0.531314,0.339448
0.709629,0.354238,0.60905
0.639043,-0.192472,0.7447
-0.82355,-0.345745,-0.449694
-0.562698,0.794187,0.229429
-0.279808,-0.698962,-0.658149
0.297603,-0.325178,0.897603
-0.848555,0.448927,-0.280035
0.727638,0.672575,-0.134854
-0.783521,0.579315,-0.224698
0.059271,0.451971,0.890061
0.743504,-0.456911,0.488298
0.278473,-0.437512,-0.855006
0.728821,0.536109,-0.425921
0.629266,-0.419806,-0.654055
-0.450503,0.821305,0.350008
0.287132,0.883215,0.370793
-0.494364,0.150617,-0.856107
-0.569695,0.00139047,-0.821855
