X,Y,Z
-0.330679361,-0.659536107,-0.675028358
0.818818221,-0.573944729,-0.01114311
-0.45375067,-0.337876821,0.824590555
-0.78258441,-0.161479649,0.601237028
-0.697916755,0.706307667,0.11849761
-0.301289103,-0.684880818,-0.66344792
-0.329637215,-0.043607093,-0.943100063
0.075730826,-0.932979757,0.351871589
-0.128916228,0.565804444,-0.814399127
0.663479597,0.730100288,0.163549361
-0.448053532,-0.627965806,0.636323015
0.805578078,-0.035125305,-0.591447524
-0.628013264,-0.296567547,-0.719476915
0.277242866,0.829008108,-0.485676796
-0.084793748,0.976025665,-0.200459276
0.11926018,0.449785406,0.885138463
-0.686394498,0.637627342,-0.349705542
-0.680491645,-0.081034392,-0.728261319
0.399727621,0.373781574,-0.836961865
0.896925487,-0.154988453,0.414129509
-0.206290501,-0.885473257,-0.41639085
0.344316488,0.920418967,-0.185135306
0.769029342,0.177884038,-0.613963468
0.789269738,-0.599781985,-0.131585906
-0.799632657,0.59397997,-0.088178276
-0.831186531,0.553906686,-0.048128316
-0.728332431,0.562235042,-0.391693282
0.735533404,0.091452399,-0.671287621
-0.854774968,-0.458601547,0.242990481
-0.503341732,0.391767635,-0.770172202
0.721588344,0.67984739,-0.130834968
0.040988985,-0.891936054,-0.450299876
0.267568807,-0.930616488,-0.249719615
-0.253370799,0.901530715,0.350778573
0.864217709,0.498030155,0.071370273
0.933110475,0.142848287,-0.329998801
-0.519102701,-0.846599646,-0.11747947
0.76303004,-0.49119561,-0.420133348
0.493463289,0.758496409,0.425649129
-0.623441311,-0.312642418,-0.716641926
0.225116175,-0.510103672,0.830130683
-0.69295729,0.72021818,0.033105403
-0.214536357,-0.976710833,0.003178175
0.390682397,0.733505138,-0.556181155
-0.591144563,0.780970948,-0.201575008
-0.959640652,-0.04962471,-0.276816198
-0.550474439,0.125945493,0.825297295
-0.643120181,0.031558549,-0.765114691
0.725099879,0.304046072,-0.617888462
-0.818716557,0.380769281,0.429788266
-0.403664167,-0.635526342,0.658150065
-0.024013409,0.90323176,-0.428480739
-0.842088406,0.094065811,-0.531073196
0.18044827,-0.965374455,-0.188389446
-0.884302452,-0.434037629,0.1721061
0.112967598,0.214022793,0.97027448
0.166380658,-0.507671487,0.845332561
-0.780976554,-0.604747489,0.156064397
-0.382640004,-0.793652195,-0.472972325
0.343936402,0.917177026,0.201231344
-0.206345949,0.360932164,0.9094775
-0.796591764,0.411516753,-0.442826742
0.04887558,-0.655140627,-0.753924357
0.189984185,0.178189347,0.96548152
0.078631559,0.416994083,-0.905501525
0.460949169,0.399820805,0.792255759
0.221905018,-0.55062629,-0.804716628
0.710796699,0.587387291,0.386967988
-0.553167218,0.738072733,-0.386334919
-0.742464751,0.032447676,0.669098829
0.565899473,-0.770502824,-0.293399362
-0.332265463,0.941325299,-0.059214391
-0.419626787,-0.486087007,0.766572098
0.857239546,-0.378137669,-0.349502881
-0.353578427,0.554902588,-0.753037458
0.860204717,0.306972646,0.407204665
0.197865257,0.957284428,0.210845591
0.780222904,0.067599853,-0.621837985
0.326830853,0.938408144,-0.112123808
0.462859539,0.673896107,0.575868982
-0.448656579,-0.656564955,0.606324776
-0.6435528,-0.581482883,0.497712216
0.944100588,0.159980153,0.288236759
-0.440249992,-0.238257651,0.865686569
0.07383313,-0.917487604,0.390851847
-0.946313288,0.314522509,0.074610671
0.361342922,-0.614738727,0.701090287
-0.071808574,-0.771915322,-0.631656762
0.373620981,0.910922618,-0.175006703
-0.130279995,-0.937204028,-0.323536292
-0.762086116,-0.641843673,-0.085214143
0.547952345,-0.836505981,-0.002443514
0.11182842,0.904771183,0.41095439
-0.998864186,0.047553975,-0.002992918
0.284885085,-0.906077927,0.31283107
-0.50958551,0.752506187,0.417201445
0.104582413,0.190502155,-0.976100122
0.752988438,-0.089582347,-0.651907521
-0.521958683,0.578830207,-0.626509956
0.8697529,-0.368629983,-0.328088142
0.296884024,-0.832920542,-0.467015253
-0.864498549,-0.497438197,0.072093683
0.969523878,-0.18623775,0.159182128
0.777620854,0.628733472,0.000171689
0.683138637,0.347739985,-0.64218261
-0.745655615,-0.617019007,0.251565597
0.321400647,0.829073859,-0.457534872
0.187855663,0.239350843,-0.952586701
-0.872915135,0.485605063,-0.046977549
0.661052872,0.506935147,0.553196038
0.221330186,-0.534505581,-0.8156695
0.328346931,-0.046241928,-0.943424601
0.853156188,-0.250151707,-0.457764834
-0.745803453,0.428569462,0.510005319
-0.659060801,-0.066182795,-0.749172009
-0.422977418,0.196812293,-0.884508352
-0.930006073,0.359708119,-0.075490222
-0.341146143,0.594749782,0.727936815
0.796647922,0.227051564,0.560178254
0.030797879,-0.948945626,-0.31393262
0.482691037,0.698719232,0.528015907
0.57436434,0.802200302,-0.1630346
-0.434989693,0.792864861,0.426789503
-0.22573625,-0.795693334,-0.562063398
0.243640005,-0.966589138,0.07965542
0.535225998,-0.175470505,-0.82628278
0.145513048,-0.522220228,-0.840304699
-0.880347036,0.473847926,-0.021383158
0.487794689,0.192974745,-0.851361902
-0.767338381,0.571649115,0.290532438
0.996147703,-0.062549224,0.061460141
-0.242507521,-0.862139048,0.44486668
0.550488963,-0.828990799,-0.09867197
0.228931729,-0.189435662,0.954832129
0.096352561,-0.993986912,0.052021177
-0.772516667,0.634813962,-0.015140413
-0.615294178,0.289141825,0.733355357
-0.946611661,0.302142022,0.112412461
-0.988553466,-0.007535513,-0.150682651
-0.908150933,-0.418213207,-0.018963043
-0.444609116,-0.29261604,-0.846580526
0.487925416,-0.266224495,-0.83129616
0.150994453,-0.529558297,-0.834726713
-0.496996234,-0.86417792,-0.078684598
-0.565823273,0.610262856,-0.554457636
0.77987721,0.625471287,0.024025114
0.08877283,-0.311711558,-0.946020766
-0.501631012,0.828320574,0.249502215
-0.639946176,-0.397946498,-0.657348824
0.278102523,0.956792467,0.084895006
-0.817630454,0.221342464,0.531495959
0.452077176,0.762149979,-0.463415188
0.546992206,-0.806784809,0.22337815
0.899536539,0.10141125,-0.424911489
-0.253210925,0.193903111,0.947779411
-0.011575068,-0.545186677,0.838234755
0.372402185,0.85559706,-0.359541769
0.650917785,0.759145356,-0.002089349
-0.750627973,-0.388627367,0.534346718
-0.887715878,0.288136834,0.359078939
-0.229142971,0.861405228,0.453292986
-0.046421348,-0.993255135,-0.106251095
0.225849763,0.900431938,0.371771718
0.070740406,-0.442372625,0.894037055
-0.501597112,0.850876491,-0.156235513
0.93057699,0.339403827,0.137227939
0.197392804,-0.652565146,-0.7315701
-0.584007858,-0.765032023,-0.27140528
0.153061688,0.966275609,-0.207083479
0.590209055,0.194215292,0.783539209
0.261318613,0.765717476,-0.587698332
-0.279727314,0.236204212,0.930569825
-0.595407948,0.799321089,0.081087433
-0.472723395,0.697261373,0.538849859
0.10901946,-0.896028413,-0.430404275
-0.237119217,-0.068839811,-0.969038471
0.448577302,-0.737185543,-0.505307707
-0.430834351,0.814874725,-0.387764031
-0.527897656,-0.612430744,0.588432365
0.196630125,0.836434297,0.51158016
-0.99195181,0.049685674,0.11646004
0.659021811,-0.733981685,0.164198472
0.09270489,-0.97639581,0.1950821
0.870690408,-0.368637664,-0.3255833
-0.259809669,-0.95324715,-0.15433343
