X,Y,Z
-723.431,808.158,-720.185
63.459,706.402,0.550681
-114.755,493.419,-430.122
-943.079,895.617,-0.0583922
-245.075,633.914,77.823
-192.989,184.289,786.129
636.054,353.497,106.531
408.318,221.819,-374.554
-863.605,112.433,287.829
-164.666,663.999,-107.174
-220.409,830.582,782.405
-732.261,584.446,493.718
0.970488,79.075,-481.446
-901.362,136.597,-393.917
0.274437,788.974,-476.205
0.692068,290.683,773.383
-415.224,513.126,-974.505
-929.046,105.255,0.871486
57.993,244.848,-159.534
-45.989,516.013,706.618
389.136,634.708,61.657
-943.992,542.767,-0.154983
-182.032,284.878,159.688
221.156,944.034,722.613
585.293,383.357,350.654
604.911,870.121,-0.963083
594.799,412.562,-124.488
-945.256,922.855,-0.311076
-328.832,42.706,-0.94167
-249.084,603.381,777.477
-937.642,318.754,-237.719
-548.667,729.157,-888.478
395.645,944.872,611.028
605.194,461.094,296.341
-0.877288,604.199,18.196
-320.125,775.097,760.614
50.684,582.034,490.331
576.373,224.726,371.135
-136.044,972.503,-418.218
181.972,864.603,-474.164
439.534,390.677,-348.959
-287.363,109.945,0.600279
-660.089,850.518,-790.678
-543.854,650.599,-892.105
-887.614,610.269,230.545
-888.927,79.128,227.064
-228.351,505.422,781.146
-884.739,462.771,-441.455
512.255,795.266,-271.218
-328.332,433.317,-0.777711
-287.258,27.628,0.602066
29.087,436.223,-442.341
-94.761,593.231,-114.535
-0.601153,429.227,790.704
-601.728,150.479,-845.427
391.699,909.717,-386.698
-819.056,620.718,372.522
429.847,412.737,-357.317
-0.319692,870.516,17.247
-0.769477,767.284,-447.651
-0.690639,74.709,180.823
-259.621,348.362,-104.335
-347.601,919.318,752.257
-198.704,981.137,-372.566
-934.358,968.988,0.587191
537.829,780.243,443.829
630.062,53.902,0.116667
-783.475,312.987,-638.782
-686.655,379.175,543.221
636.089,799.548,102.665
-761.853,0.484047,-670.098
-296.156,353.809,0.440081
-153.053,472.475,-407.518
372.339,893.734,-399.676
244.985,985.422,-458.978
-903.929,993.538,183.773
-92.199,394.656,-319.746
-906.179,976.143,-378.478
6.361,403.032,0.998737
-549.175,375.468,655.488
0.988357,494.284,-481.446
571.998,434.162,380.553
408.288,964.529,-374.577
-337.066,832.591,755.585
-713.258,349.963,-732.427
