X,Y,Z,Label
-723.431,808.158,-720.185,10
63.459,706.402,0.550681,6
-114.755,493.419,-430.122,4
-943.079,895.617,-0.0583922,9
-245.075,633.914,77.823,8
-192.989,184.289,786.129,8
636.054,353.497,106.531,6
408.318,221.819,-374.554,6
-863.605,112.433,287.829,9
-164.666,663.999,-107.174,11
-220.409,830.582,782.405,8
-732.261,584.446,493.718,9
0.970488,79.075,-481.446,5
-901.362,136.597,-393.917,10
0.274437,788.974,-476.205,5
0.692068,290.683,773.383,8
-415.224,513.126,-974.505,11
-929.046,105.255,0.871486,9
57.993,244.848,-159.534,6
-45.989,516.013,706.618,8
389.136,634.708,61.657,7
-943.992,542.767,-0.154983,9
-182.032,284.878,159.688,2
221.156,944.034,722.613,8
585.293,383.357,350.654,7
604.911,870.121,-0.963083,6
594.799,412.562,-124.488,6
-945.256,922.855,-0.311076,9
-328.832,42.706,-0.94167,3
-249.084,603.381,777.477,8
-937.642,318.754,-237.719,10
-548.667,729.157,-888.478,10
395.645,944.872,611.028,7
605.194,461.094,296.341,7
-0.877288,604.199,18.196,2
-320.125,775.097,760.614,8
50.684,582.034,490.331,7
576.373,224.726,371.135,7
-136.044,972.503,-418.218,4
181.972,864.603,-474.164,5
439.534,390.677,-348.959,6
-287.363,109.945,0.600279,3
-660.089,850.518,-790.678,10
-543.854,650.599,-892.105,10
-887.614,610.269,230.545,9
-888.927,79.128,227.064,9
-228.351,505.422,781.146,8
-884.739,462.771,-441.455,10
512.255,795.266,-271.218,6
-328.332,433.317,-0.777711,3
-287.258,27.628,0.602066,3
29.087,436.223,-442.341,5
-94.761,593.231,-114.535,10
-0.601153,429.227,790.704,8
-601.728,150.479,-845.427,10
391.699,909.717,-386.698,6
-819.056,620.718,372.522,9
429.847,412.737,-357.317,6
-0.319692,870.516,17.247,2
-0.769477,767.284,-447.651,5
-0.690639,74.709,180.823,2
-259.621,348.362,-104.335,11
-347.601,919.318,752.257,8
-198.704,981.137,-372.566,4
-934.358,968.988,0.587191,9
537.829,780.243,443.829,7
630.062,53.902,0.116667,6
-783.475,312.987,-638.782,10
-686.655,379.175,543.221,9
636.089,799.548,102.665,6
-761.853,0.484047,-670.098,10
-296.156,353.809,0.440081,3
-153.053,472.475,-407.518,4
372.339,893.734,-399.676,5
244.985,985.422,-458.978,5
-903.929,993.538,183.773,9
-92.199,394.656,-319.746,10
-906.179,976.143,-378.478,10
6.361,403.032,0.998737,6
-549.175,375.468,655.488,9
0.988357,494.284,-481.446,5
571.998,434.162,380.553,7
408.288,964.529,-374.577,6
-337.066,832.591,755.585,8
-713.258,349.963,-732.427,10
-226.838,821.656,-105.424,11
-328.766,579.487,-102.856,3
54.849,436.685,425.727,7
-755.026,367.766,465.882,9
-321.069,425.991,760.344,8
-252.683,963.194,-314.694,4
-27.861,401.817,-276.106,4
-480.947,340.717,-935.715,11
366.314,432.374,-403.473,5
633.094,910.238,160.756,7
-0.325911,363.133,-463.067,5
-579.225,172.831,634.823,9
-0.218839,773.253,-109.735,11
603.467,625.489,-100.616,6
-932.261,258.573,0.705383,9
-824.401,831.613,-571.448,10
-0.679762,919.682,791.055,8
-937.606,976.559,0.383517,9
-63.668,301.942,589.634,9
-267.018,740.882,773.852,8
-271.375,0.0671966,-287.923,4
615.847,29.374,259.145,7
-287.749,895.189,-259.632,4
49.091,437.324,511.423,7
600.435,11.042,310.732,7
-120.769,835.974,-426.918,4
-302.369,207.361,-228.182,4
-0.577857,121.848,179.188,2
-947.217,904.436,-13.062,10
-215.624,847.589,783.124,8
615.588,43.248,-0.603781,6
116.473,687.395,-481.094,5
-468.517,432.998,702.293,8
-928.085,740.158,0.918223,9
-938.182,834.659,0.344013,9
-21.315,11.745,-359.203,4
-791.535,97.789,-626.428,10
-72.659,393.751,-716.301,10
-241.146,767.536,778.947,8
-225.679,970.418,781.578,8
634.998,821.902,136.319,6
-328.477,708.124,-111.466,3
-253.069,434.527,106.168,3
-569.845,877.782,641.478,9
-776.258,288.043,-649.519,10
-945.523,131.179,-164.166,10
206.602,722.422,-469.245,5
607.397,740.064,289.283,7
412.822,257.599,595.746,7
-895.156,463.912,-412.597,10
-313.521,971.836,0.0198054,3
-893.904,640.267,-416.219,10
-23.562,972.594,-105.144,11
-116.813,380.618,180.057,2
-934.355,494.672,0.587366,9
629.248,394.486,19.231,7
136.336,132.972,755.335,8
119.012,861.089,-48.099,5
-161.001,318.416,789.267,8
-397.802,615.709,73.421,8
-327.825,219.388,-121.945,3
-882.011,25.236,244.938,9
-931.566,417.368,-274.316,10
609.183,696.754,-0.82885,6
607.097,344.048,290.259,7
497.465,409.557,502.944,7
-402.223,418.473,732.443,8
-324.571,268.705,-149.359,4
630.347,120.698,0.137348,6
-290.216,572.309,0.550925,3
-890.959,805.577,22.159,9
-223.161,324.782,133.741,3
614.496,612.977,26.435,7
-899.647,305.453,-399.206,10
-16.914,742.111,788.592,8
-0.898349,657.943,-442.161,5
-410.904,50.966,728.887,8
-866.296,58.483,281.923,9
104.224,234.779,-481.407,5
474.986,931.372,-314.736,6
-128.743,565.531,-422.479,4
-316.729,884.406,-185.827,4
191.783,204.463,-472.358,5
580.956,406.339,-157.305,6
-147.532,338.316,-107.586,11
-244.407,7.34,778.353,8
-833.774,633.568,346.878,9
-248.528,371.269,110.953,3
28.774,924.429,688.045,7
513.802,879.969,480.567,7
-609.908,644.247,-838.254,10
-665.587,863.946,563.686,9
538.691,332.855,-234.036,6
-299.436,289.842,0.373353,3
0.530664,380.026,776.766,8
-132.833,897.549,177.149,2
632.941,50.99,162.315,7
-945.418,889.632,-165.685,10
0.367247,416.051,-477.505,5
-0.0556792,256.361,160.452,2
-183.497,658.535,158.958,2
0.642899,993.507,-480.262,5
-233.004,875.509,125.624,3
-831.394,680.042,35.116,9
-0.268925,472.466,-109.678,11
-939.013,736.267,-228.009,10
593.736,445.125,329.345,7
-885.432,214.456,236.237,9
-212.233,354.001,783.616,8
-654.266,699.327,-796.536,10
-489.775,581.474,-929.999,11
-839.107,83.779,337.077,9
