X,Y,Z,Label
3.00,0.00,0.00,0.00
3.00,0.01,0.06,1.00
2.99,0.03,0.13,2.00
2.98,0.04,0.19,3.00
2.97,0.05,0.25,4.00
2.95,0.06,0.31,5.00
2.93,0.07,0.37,6.00
2.90,0.09,0.43,7.00
2.87,0.10,0.48,8.00
2.84,0.11,0.54,9.00
2.81,0.12,0.59,10.00
2.77,0.13,0.64,11.00
2.73,0.14,0.68,12.00
2.68,0.15,0.73,13.00
2.63,0.15,0.77,14.00
2.58,0.16,0.81,15.00
2.53,0.17,0.84,16.00
2.48,0.18,0.88,17.00
2.42,0.18,0.90,18.00
2.36,0.19,0.93,19.00
2.30,0.19,0.95,20.00
2.24,0.20,0.97,21.00
2.18,0.20,0.98,22.00
2.12,0.20,0.99,23.00
2.05,0.21,1.00,24.00
1.99,0.21,1.00,25.00
1.93,0.21,1.00,26.00
1.86,0.21,0.99,27.00
1.80,0.21,0.98,28.00
1.74,0.21,0.97,29.00
1.68,0.21,0.95,30.00
1.62,0.21,0.93,31.00
1.56,0.21,0.90,32.00
1.50,0.21,0.88,33.00
1.45,0.21,0.84,34.00
1.40,0.21,0.81,35.00
1.35,0.20,0.77,36.00
1.30,0.20,0.73,37.00
1.25,0.20,0.68,38.00
1.21,0.20,0.64,39.00
1.17,0.20,0.59,40.00
1.14,0.20,0.54,41.00
1.11,0.20,0.48,42.00
1.08,0.20,0.43,43.00
1.05,0.20,0.37,44.00
1.03,0.20,0.31,45.00
1.01,0.20,0.25,46.00
1.00,0.20,0.19,47.00
0.99,0.20,0.13,48.00
0.98,0.20,0.06,49.00
0.98,0.21,0.00,50.00
0.98,0.21,-0.06,51.00
0.98,0.22,-0.13,52.00
0.99,0.22,-0.19,53.00
1.01,0.23,-0.25,54.00
1.02,0.24,-0.31,55.00
1.04,0.25,-0.37,56.00
1.06,0.26,-0.43,57.00
1.09,0.27,-0.48,58.00
1.12,0.28,-0.54,59.00
1.15,0.30,-0.59,60.00
1.19,0.31,-0.64,61.00
1.23,0.33,-0.68,62.00
1.27,0.34,-0.73,63.00
1.31,0.36,-0.77,64.00
1.36,0.38,-0.81,65.00
1.41,0.40,-0.84,66.00
1.46,0.42,-0.88,67.00
1.51,0.44,-0.90,68.00
1.56,0.47,-0.93,69.00
1.62,0.49,-0.95,70.00
1.67,0.51,-0.97,71.00
1.73,0.54,-0.98,72.00
1.79,0.56,-0.99,73.00
1.84,0.59,-1.00,74.00
1.90,0.62,-1.00,75.00
1.96,0.65,-1.00,76.00
2.02,0.67,-0.99,77.00
2.07,0.70,-0.98,78.00
